номинализация и ее зависимые,лемма номинализации,предложение,номинализация и ее аргументы,модель управления в общем виде,присоединяемые адъюнкты,порядок аргументов,вершина,1-й аргумент,2-ой аргумент,1-ый адъюнкт,2ой адъюнкт,3ий адъюнкт,4ый адъюнкт,
,,,,,,,,,,,,,,
критического - отношения - к содеянному,отношение,"Психолого-психиатрическая экспертиза признала , что поджигатель "" не обнаруживает критического отношения к содеянному и представляет социальную опасность для общества",отношения - к содеянному,['HEAD'],['к+dat'],HEAD,HEAD: отношение,--,--,adj1: к+dat: содеянное,,,,
,,,,,,,,,,,,,,
создании - картины,создание,"Матвейчик предупредил , что при создании картины будет соблюдать максимум осторожности и не делать резких выводов",создании - картины,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: создание,arg1: gen: картина,--,,,,,
,,,,,,,,,,,,,,
удаление - Вишневского,удаление,1 : 2 Мозякин броском от синей линии низом в нижний угол реализует удаление Вишневского,удаление - Вишневского,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: удаление,arg1: gen: вишневский,--,,,,,
,,,,,,,,,,,,,,
разъяснениями - к организаторам,разъяснение,""" Мы не только удивлены , но и очень огорчены тем , что известный фотограф Балакин не обратился за разъяснениями к организаторам конкурса , а решил разместить текст , содержащий заведомую клевету , в собственном интернет-блоге",разъяснениями - к организаторам,['HEAD'],['к+dat'],HEAD,HEAD: разъяснение,--,--,adj1: к+dat: организатор,,,,
,,,,,,,,,,,,,,
ощущение - что,ощущение,"– Сложилось ощущение , что все было заранее предрешено , – говорит Дмитрий Окунев",ощущение - что,['HEAD'],['CONJ'],HEAD,HEAD: ощущение,--,--,adj1: CONJ: что,,,,
,,,,,,,,,,,,,,
изменения - в сторону,изменение,"Думаю , что изменения в лучшую сторону будут",изменения - в сторону,['HEAD'],['в+acc'],HEAD,HEAD: изменение,--,--,adj1: в+acc: сторона,,,,
,,,,,,,,,,,,,,
поручением - председателя,поручение,"У нас как раз истек этот период , и мы , в соответствии с поручением председателя правительства Свердловской области Анатолия Гредина , имеем возможность привести их в соответствие с экономической логикой и принципами энергосбережения",поручением - председателя,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: поручение,arg1: gen: председатель,--,,,,,
,,,,,,,,,,,,,,
принятия - законопроекта,принятие,Как это будет выглядеть после принятия законопроекта,принятия - законопроекта,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: принятие,arg1: gen: законопроект,--,,,,,
,,,,,,,,,,,,,,
лечении - людей,лечение,"Второй этап особо значим еще и потому , что ученые будут выяснять , насколько эффективен препарат против вируса "" Калифорния "" ( известного больше как "" свиной "" грипп ) , когда речь идет о лечении людей",лечении - людей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: лечение,arg1: gen: человек,--,,,,,
,,,,,,,,,,,,,,
сравнению - с ними,сравнение,Надеть памперс по сравнению с ними - ерунда,сравнению - с ними,['HEAD'],['с+ins'],HEAD,HEAD: сравнение,--,--,adj1: с+ins: они,,,,
,,,,,,,,,,,,,,
обеспечении - подготовки,обеспечение,"В настоящее время Хасанский таможенный пост задействован в обеспечении подготовки и проведения саммита форума "" Азиатско-тихоокеанское экономическое сотрудничество "" в 2012 году",обеспечении - подготовки,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: обеспечение,arg1: gen: подготовка,--,,,,,
,,,,,,,,,,,,,,
проведения - саммита,проведение,"В настоящее время Хасанский таможенный пост задействован в обеспечении подготовки и проведения саммита форума "" Азиатско-тихоокеанское экономическое сотрудничество "" в 2012 году",проведения - саммита,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: проведение,arg1: gen: саммит,--,,,,,
,,,,,,,,,,,,,,
его - задержания,задержание,"После его задержания выяснилось , что устроиться на службу ему помогли семейные связи",его - задержания,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: задержание,arg1: poss: он,--,,,,,
,,,,,,,,,,,,,,
управление - банка - по области,управление,"Главное управление Центрального банка России по Иркутской области обнародовало размер суммарного уставного капитала региональных банков Приангарья , который в 2010 году увеличился на 300 млн",управление - банка - по области,"['HEAD', 'gen']",['по+loc'],HEAD-arg1,HEAD: управление,arg1: gen: банк,--,adj1: по+loc: область,,,,
,,,,,,,,,,,,,,
расширении - перечня,расширение,"Речь идет о расширении федерального перечня реабилитационных мероприятий , технических средств реабилитации и услуг , предоставляемых людям с ограниченными возможностями в соответствии с ФЗ "" О социальной защите инвалидов """,расширении - перечня,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: расширение,arg1: gen: перечень,--,,,,,
,,,,,,,,,,,,,,
