отставание,2,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,[],1
,,,,,
,,"['HEAD', 'gen']",1,"['NUMB,intg']",1
,,,,,
---,---,---,---,,
,,,,,
информирование,3,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['о+loc'],2
,,,,,
,,"['HEAD', 'gen']",2,[],1
,,,,,
---,---,---,---,,
,,,,,
госрегулирование,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'ins']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
терпение,2,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'poss']",1,[],2
,,,,,
,,"['HEAD', 'gen']",1,,
,,,,,
---,---,---,---,,
,,,,,
моление,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,['на+loc'],1
,,,,,
---,---,---,---,,
,,,,,
процветание,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
усмотрение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
откровение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['poss', 'HEAD']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
завершение,13,модели управления,количество,адъюнкты,количество
,,,,,
,,"['poss', 'HEAD']",2,['в+nom'],1
,,,,,
,,"['HEAD', 'gen']",11,['по+nom'],1
,,,,,
,,,,[],11
,,,,,
---,---,---,---,,
,,,,,
управление,75,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'ins', 'gen']",2,['за+acc'],1
,,,,,
,,"['HEAD', 'gen', 'gen']",1,['по+dat'],6
,,,,,
,,"['HEAD', 'ins']",21,"['по+dat', 'nom']",1
,,,,,
,,['HEAD'],10,['loc'],1
,,,,,
,,"['HEAD', 'ins', 'ins']",1,['по+nom'],6
,,,,,
,,"['poss', 'HEAD']",1,['CONJ'],1
,,,,,
,,"['HEAD', 'gen']",39,['по+loc'],3
,,,,,
,,,,[],55
,,,,,
,,,,['для+gen'],1
,,,,,
---,---,---,---,,
,,,,,
распоряжение,10,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['о+loc'],2
,,,,,
,,"['poss', 'HEAD']",3,['об+loc'],1
,,,,,
,,"['HEAD', 'gen']",5,[],6
,,,,,
,,,,"['UNKN', 'nom']",1
,,,,,
---,---,---,---,,
,,,,,
снижение,34,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['nom'],2
,,,,,
,,"['poss', 'HEAD']",1,"['CONJ', 'на+PNCT']",1
,,,,,
,,"['HEAD', 'gen']",31,"['с+gen', 'nom']",1
,,,,,
,,,,['CONJ'],3
,,,,,
,,,,['в+loc'],1
,,,,,
,,,,['на+PNCT'],1
,,,,,
,,,,[],24
,,,,,
,,,,['на+PREP'],1
,,,,,
---,---,---,---,,
,,,,,
форсирование,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
сознание,3,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",3,[],3
,,,,,
---,---,---,---,,
,,,,,
повреждение,3,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['на+loc'],1
,,,,,
,,"['HEAD', 'gen']",2,[],2
,,,,,
---,---,---,---,,
,,,,,
отклонение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['CONJ'],1
,,,,,
---,---,---,---,,
,,,,,
наименование,4,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",4,[],4
,,,,,
---,---,---,---,,
,,,,,
попадание,1,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['в+acc'],1
,,,,,
---,---,---,---,,
,,,,,
зарождение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
заимствование,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
сожаление,1,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['для+gen'],1
,,,,,
---,---,---,---,,
,,,,,
воспаление,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
понижение,3,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",3,[],3
,,,,,
---,---,---,---,,
,,,,,
произведение,8,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],3,['в+nom'],1
,,,,,
,,"['HEAD', 'gen', 'gen']",1,['CONJ'],1
,,,,,
,,"['HEAD', 'gen']",4,['nom'],1
,,,,,
,,,,[],4
,,,,,
,,,,"['NOUN,inan,masc,Fixd,Abbr sing,nomn']",1
,,,,,
---,---,---,---,,
,,,,,
послабление,2,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['для+gen'],1
,,,,,
,,,,['dat'],1
,,,,,
---,---,---,---,,
,,,,,
помутнение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
повторение,3,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",3,['CONJ'],1
,,,,,
,,,,[],2
,,,,,
---,---,---,---,,
,,,,,
размывание,1,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['CONJ'],1
,,,,,
---,---,---,---,,
,,,,,
исчисление,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
разрешение,14,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],8,"['INFN,perf,tran', 'nom']",1
,,,,,
,,"['HEAD', 'gen']",6,['от+gen'],2
,,,,,
,,,,"['на+acc', 'в+acc']",1
,,,,,
,,,,[],6
,,,,,
,,,,['на+acc'],4
,,,,,
---,---,---,---,,
,,,,,
отобрание,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
смещение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['poss', 'HEAD']",1,['на+acc'],1
,,,,,
---,---,---,---,,
,,,,,
благосостояние,2,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['CONJ'],1
,,,,,
,,"['poss', 'HEAD']",1,['acc'],1
,,,,,
---,---,---,---,,
,,,,,
основание,19,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],10,['CONJ'],2
,,,,,
,,"['HEAD', 'gen']",9,"['INFN,impf,intr']",1
,,,,,
,,,,"['INFN,impf,tran']",1
,,,,,
,,,,['для+gen'],6
,,,,,
,,,,[],9
,,,,,
---,---,---,---,,
,,,,,
восполнение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,"['dat', 'за+acc']",1
,,,,,
---,---,---,---,,
,,,,,
принятие,14,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['за+acc'],1
,,,,,
,,"['HEAD', 'gen']",12,['на+acc'],1
,,,,,
,,,,['acc'],2
,,,,,
,,,,[],10
,,,,,
---,---,---,---,,
,,,,,
субсидирование,2,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",2,[],2
,,,,,
---,---,---,---,,
,,,,,
разведение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
правонарушение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['в+loc'],1
,,,,,
---,---,---,---,,
,,,,,
ожидание,9,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],3,['LATN'],1
,,,,,
,,"['poss', 'HEAD', 'gen']",1,['с+ins'],1
,,,,,
,,"['HEAD', 'gen']",5,[],5
,,,,,
,,,,['CONJ'],2
,,,,,
---,---,---,---,,
,,,,,
отопление,2,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['в+loc'],1
,,,,,
,,,,['nom'],1
,,,,,
---,---,---,---,,
,,,,,
совершеннолетие,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
крушение,2,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['nom'],2
,,,,,
---,---,---,---,,
,,,,,
участие,50,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],33,"['в+dat', 'loc']",1
,,,,,
,,"['poss', 'HEAD']",3,"['в+loc', 'UNKN']",1
,,,,,
,,"['HEAD', 'gen']",14,"['в+loc', 'на+loc']",1
,,,,,
,,,,['в+PNCT'],2
,,,,,
,,,,"['в+loc', 'на+acc']",1
,,,,,
,,,,"['в+loc', 'UNKN', 'CONJ']",1
,,,,,
,,,,['в+acc'],1
,,,,,
,,,,['в+loc'],27
,,,,,
,,,,"['в+acc', 'в+loc']",1
,,,,,
,,,,[],13
,,,,,
,,,,"['в+loc', 'в+loc']",1
,,,,,
---,---,---,---,,
,,,,,
известие,2,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['со+gen'],1
,,,,,
,,,,['о+loc'],1
,,,,,
---,---,---,---,,
,,,,,
показание,5,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],3,['в+acc'],1
,,,,,
,,"['HEAD', 'gen']",2,['из+gen'],1
,,,,,
,,,,['PNCT'],1
,,,,,
,,,,[],1
,,,,,
,,,,['на+acc'],1
,,,,,
---,---,---,---,,
,,,,,
выделение,3,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['из+gen'],1
,,,,,
,,"['HEAD', 'gen']",1,"['VERB,impf,intr sing,3per,pres,indc']",1
,,,,,
,,,,['на+acc'],1
,,,,,
---,---,---,---,,
,,,,,
сочетание,3,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],3,['с+ins'],3
,,,,,
---,---,---,---,,
,,,,,
согласование,4,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['в+acc'],1
,,,,,
,,"['HEAD', 'gen']",2,['с+ins'],1
,,,,,
,,,,[],2
,,,,,
---,---,---,---,,
,,,,,
сооружение,3,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['на+loc'],2
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
подключение,5,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen', 'ins', 'gen']",1,['по+ADVB'],1
,,,,,
,,['HEAD'],1,[],2
,,,,,
,,"['HEAD', 'gen']",3,['к+dat'],2
,,,,,
---,---,---,---,,
,,,,,
нарушение,27,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],7,['на+loc'],1
,,,,,
,,"['HEAD', 'poss']",1,['nom'],1
,,,,,
,,"['poss', 'HEAD']",1,['по+PRCL'],1
,,,,,
,,"['HEAD', 'gen']",18,['в+loc'],4
,,,,,
,,,,['при+loc'],2
,,,,,
,,,,[],17
,,,,,
,,,,['acc'],1
,,,,,
---,---,---,---,,
,,,,,
достижение,14,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],2,['на+loc'],1
,,,,,
,,"['poss', 'HEAD']",1,"['nom', 'nom']",1
,,,,,
,,"['HEAD', 'gen']",11,['nom'],1
,,,,,
,,,,[],11
,,,,,
---,---,---,---,,
,,,,,
заключение,8,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],3,['CONJ'],1
,,,,,
,,"['poss', 'HEAD']",1,['с+ins'],1
,,,,,
,,"['HEAD', 'gen']",4,[],5
,,,,,
,,,,['по+dat'],1
,,,,,
---,---,---,---,,
,,,,,
создание,42,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],5,"['в+loc', 'на+acc']",1
,,,,,
,,"['poss', 'HEAD']",1,['во+acc'],2
,,,,,
,,"['HEAD', 'gen']",36,['с+ins'],1
,,,,,
,,,,['nom'],3
,,,,,
,,,,"['в+loc', 'с+ins']",1
,,,,,
,,,,['в+loc'],4
,,,,,
,,,,['во+loc'],1
,,,,,
,,,,[],27
,,,,,
,,,,['dat'],1
,,,,,
,,,,['acc'],1
,,,,,
---,---,---,---,,
,,,,,
рождение,9,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['nom'],1
,,,,,
,,"['HEAD', 'gen']",8,[],8
,,,,,
---,---,---,---,,
,,,,,
выключение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
падение,10,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['CONJ'],1
,,,,,
,,"['HEAD', 'gen', 'gen']",1,['на+loc'],1
,,,,,
,,"['HEAD', 'gen']",8,[],8
,,,,,
---,---,---,---,,
,,,,,
обследование,3,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['в+acc'],1
,,,,,
,,"['HEAD', 'gen']",2,[],2
,,,,,
---,---,---,---,,
,,,,,
оформление,4,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen', 'ins']",1,[],4
,,,,,
,,"['poss', 'HEAD']",1,,
,,,,,
,,"['HEAD', 'gen']",2,,
,,,,,
---,---,---,---,,
,,,,,
энергообеспечение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['poss', 'HEAD']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
охлаждение,1,модели управления,количество,адъюнкты,количество
,,,,,
,,"['HEAD', 'gen']",1,[],1
,,,,,
---,---,---,---,,
,,,,,
приобретение,13,модели управления,количество,адъюнкты,количество
,,,,,
,,['HEAD'],1,['CONJ'],1
